,P,Exp P,Log P,Log Exp P
200,0.722876084003737,0.6676646706586826,0.141,0.175
164,0.732201851262513,0.6706586826347305,0.135,0.173
230,0.734447119765222,0.6736526946107785,0.134,0.172
155,0.734743100963613,0.6766467065868264,0.134,0.17
118,0.735193936540169,0.6796407185628742,0.134,0.168
199,0.736096834864747,0.6826347305389222,0.133,0.166
268,0.738395292292953,0.6856287425149701,0.132,0.164
43,0.740634461652652,0.688622754491018,0.13,0.162
250,0.74691549375275,0.6916167664670658,0.127,0.16
184,0.749008454693884,0.6946107784431138,0.126,0.158
87,0.750325689194506,0.6976047904191617,0.125,0.156
203,0.751403522774667,0.7005988023952096,0.124,0.155
294,0.751509513429899,0.7035928143712575,0.124,0.153
329,0.75268297927099,0.7065868263473054,0.123,0.151
50,0.754937118825464,0.7095808383233533,0.122,0.149
222,0.761091651898951,0.7125748502994012,0.119,0.147
295,0.761402986025927,0.7155688622754491,0.118,0.145
157,0.762634482288906,0.718562874251497,0.118,0.144
261,0.768320260635263,0.7215568862275449,0.114,0.142
137,0.769132836731603,0.7245508982035929,0.114,0.14
303,0.769718684200178,0.7275449101796407,0.114,0.138
232,0.773251513258292,0.7305389221556886,0.112,0.136
214,0.773791240022899,0.7335329341317365,0.111,0.135
187,0.775770914908587,0.7365269461077845,0.11,0.133
66,0.776801977716114,0.7395209580838323,0.11,0.131
219,0.778879654522954,0.7425149700598802,0.109,0.129
54,0.780864662981281,0.7455089820359282,0.107,0.128
128,0.784841113318915,0.7485029940119761,0.105,0.126
277,0.787276342139892,0.7514970059880239,0.104,0.124
332,0.789197448327504,0.7544910179640718,0.103,0.122
234,0.791577780862132,0.7574850299401198,0.102,0.121
111,0.800795951126902,0.7604790419161677,0.096,0.119
142,0.800974271008406,0.7634730538922155,0.096,0.117
80,0.80203229351429,0.7664670658682635,0.096,0.116
55,0.804772974987034,0.7694610778443114,0.094,0.114
12,0.804788531958617,0.7724550898203593,0.094,0.112
19,0.807707760813327,0.7754491017964071,0.093,0.11
276,0.810329385516381,0.7784431137724551,0.091,0.109
313,0.813291645901483,0.781437125748503,0.09,0.107
310,0.813730769835916,0.7844311377245509,0.09,0.105
67,0.815349382468346,0.7874251497005988,0.089,0.104
242,0.815544161170655,0.7904191616766467,0.089,0.102
9,0.815547172880945,0.7934131736526946,0.089,0.101
269,0.817439332666474,0.7964071856287425,0.088,0.099
21,0.818175411651721,0.7994011976047904,0.087,0.097
285,0.819498516341861,0.8023952095808383,0.086,0.096
305,0.825419857419923,0.8053892215568862,0.083,0.094
292,0.827724129439901,0.8083832335329342,0.082,0.092
185,0.827977657968549,0.811377245508982,0.082,0.091
8,0.831520899323792,0.8143712574850299,0.08,0.089
181,0.833532391374068,0.8173652694610778,0.079,0.088
102,0.836385285481073,0.8203592814371258,0.078,0.086
168,0.836489682096183,0.8233532934131736,0.078,0.084
312,0.839687895681378,0.8263473053892215,0.076,0.083
88,0.843503469640175,0.8293413173652695,0.074,0.081
99,0.844782940281427,0.8323353293413174,0.073,0.08
91,0.845844836545933,0.8353293413173652,0.073,0.078
330,0.849659787749956,0.8383233532934131,0.071,0.077
318,0.849786271292013,0.8413173652694611,0.071,0.075
255,0.850549921021894,0.844311377245509,0.07,0.073
45,0.85090748543706,0.8473053892215568,0.07,0.072
52,0.855248039699692,0.8502994011976048,0.068,0.07
51,0.856119056530728,0.8532934131736527,0.067,0.069
136,0.859898360686883,0.8562874251497006,0.066,0.067
188,0.859955718008203,0.8592814371257484,0.066,0.066
130,0.863907855097811,0.8622754491017964,0.064,0.064
49,0.868399308096443,0.8652694610778443,0.061,0.063
98,0.869154373454051,0.8682634730538922,0.061,0.061
210,0.869478037071888,0.8712574850299402,0.061,0.06
293,0.871342454988838,0.874251497005988,0.06,0.058
106,0.873436557087976,0.8772455089820359,0.059,0.057
306,0.873602522719064,0.8802395209580839,0.059,0.055
260,0.874791632817973,0.8832335329341318,0.058,0.054
17,0.877115176894934,0.8862275449101796,0.057,0.052
291,0.878296231708993,0.8892215568862275,0.056,0.051
33,0.881916315705227,0.8922155688622755,0.055,0.05
182,0.882923381671434,0.8952095808383234,0.054,0.048
201,0.88593167155078,0.8982035928143712,0.053,0.047
68,0.888146159612372,0.9011976047904192,0.052,0.045
304,0.889893467338161,0.9041916167664671,0.051,0.044
290,0.890947914104438,0.907185628742515,0.05,0.042
74,0.895889012333121,0.9101796407185628,0.048,0.041
183,0.89797262168662,0.9131736526946108,0.047,0.039
132,0.898397644608372,0.9161676646706587,0.047,0.038
172,0.901090316356413,0.9191616766467066,0.045,0.037
257,0.901446732088646,0.9221556886227545,0.045,0.035
96,0.904042918831952,0.9251497005988024,0.044,0.034
246,0.904394445530914,0.9281437125748503,0.044,0.032
47,0.908522670693158,0.9311377245508982,0.042,0.031
126,0.912066666854572,0.9341317365269461,0.04,0.03
309,0.915436149513301,0.937125748502994,0.038,0.028
190,0.915867458309738,0.9401197604790419,0.038,0.027
154,0.922052438123318,0.9431137724550899,0.035,0.025
93,0.922848288911209,0.9461077844311377,0.035,0.024
143,0.924713978448908,0.9491017964071856,0.034,0.023
254,0.925379129999704,0.9520958083832335,0.034,0.021
94,0.932504046182854,0.9550898203592815,0.03,0.02
204,0.932637629553972,0.9580838323353293,0.03,0.019
288,0.936847416658998,0.9610778443113772,0.028,0.017
174,0.939419678831896,0.9640718562874252,0.027,0.016
145,0.944703480900819,0.9670658682634731,0.025,0.015
71,0.946810409741733,0.9700598802395209,0.024,0.013
89,0.948856092485897,0.9730538922155688,0.023,0.012
36,0.949214474502185,0.9760479041916168,0.023,0.011
110,0.952693233518415,0.9790419161676647,0.021,0.009
153,0.957046383571943,0.9820359281437125,0.019,0.008
321,0.959838899044532,0.9850299401197605,0.018,0.007
63,0.961249035297942,0.9880239520958084,0.017,0.005
224,0.965111288814491,0.9910179640718563,0.015,0.004
147,0.965178303207499,0.9940119760479041,0.015,0.003
333,0.968648638080068,0.9970059880239521,0.014,0.001
15,0.993364036523858,1.0,0.003,-0.0
